Наименование	Остаток	Ед.изм	Розничная цена	Артикул
Амортизатор задней оси VOLVO		шт	8 500,00	
Амортизатор задней оси МАЗ		шт	8 560,00	
Амортизатор задней оси С&К		шт	5 983,00	SK-2660005-01PL
Амортизатор задней оси СКАНИЯ PAAZ		шт	9 125,00	59174P
Амортизатор задней оси СКАНИЯ STELLOX		шт	9 800,00	
Амортизатор задней подвески SAF		шт	4 300,00	87-05033-SX
Амортизатор задней подвески SONDER 		шт	8 700,00	09.001.0099
Амортизатор задней подвески ШМИТЦ		шт	9 320,00	
Амортизатор задний ORIGINAL FAW		шт	9 170,00	
Амортизатор задний PAAZ СКАНИЯ		шт	8 970,00	8034986231
Амортизатор задний ROSTAR КАМАЗ		шт	9 650,00	180-291500631
Амортизатор задний SACNS		шт	8 760,00	2915010-2001-COO
Амортизатор задний S-EM СКАНИЯ		шт	8 282,00	17083
Амортизатор задний STELLOX СКАНИЯ		шт	8 302,00	87-05332-SX
Амортизатор задний TRIALLI КАМАЗ	2,000	шт	7 975,00	AH07506
Амортизатор задний VOLVO Rostar		шт	10 080,00	180-2905005-390
Амортизатор задний КАМАЗ		шт	8 280,00	
Амортизатор задний подвески ORIGINAL FAW	2,000	шт	9 360,00	2915010-2001-C0
Амортизатор кабинный SAMPA КАМАЗ	2,000	шт	6 337,00	011.324-01
Амортизатор кабинный STELLOX КАМАЗ	1,000	шт	5 771,00	87-03448-SX
Амортизатор кабины Volvo FH передний		шт	6 740,00	15574
Амортизатор кабины задний FAW	1,000	шт	12 220,00	5001315A2000-C00/E
Амортизатор кабины передний VOLVO		шт	6 240,00	
Амортизатор передней подвески ORIGINAL FAW		шт	9 720,00	2905010-2000-C00/D
Амортизатор передней подвески МАЗ		шт	14 375,00	
Амортизатор передний FAW		шт	7 425,00	29050101506000
Амортизатор передний ISUDZU		шт	6 070,00	5-87610129-1
Амортизатор передний ORIGINAL FAW		шт	9 170,00	
Амортизатор передний SACNS		шт	8 760,00	471700012459
Амортизатор передний SE-M КАМАЗ/СКАНИЯ	2,000	шт	12 390,00	17084
Амортизатор передний VOLVO Rostar		шт	7 640,00	180-2905004-450
Амортизатор передний кабинный		шт	12 750,00	
Амортизатор передний кабинный ORIGINAL FAW		шт	11 340,00	5001025A2000
Амортизатор передний кабины КАМАЗ	1,000	шт	5 208,00	100.164-01
Амортизатор передний КАМАЗ		шт	8 280,00	
Амортизатор передний МАЗ		шт	8 620,00	
Амортизатор передний СКАНИЯ		шт	5 930,00	
Амортизатор подвески		шт	4 050,00	SK-2660005-01
Амортизатор подвески AL-KO SAF	1,000	шт	9 162,00	900252
Амортизатор подвески S&K SAF		шт	6 384,00	SK-2660013-01
Амортизатор подвески S&K СКАНИЯ ЗАД		шт	7 069,00	SK-2660066-01
Амортизатор подвески STELLOX SAF	3,000	шт	6 184,00	87-04940-SX
Амортизатор подвески STELLOX SAF	2,000	шт	6 925,00	87-04804-SX
Амортизатор подвески STELLOX SAF		шт	6 305,00	87-05070-SX
Амортизатор подвески кабины в сборе с пневмобалоном		шт	7 500,00	
Амортизатор подвески п/п paaz	3,000	шт	7 500,00	
Амортизатор подвески перед STELLOX		шт	5 906,00	87-05286-SX
Амортизатор подвески передний L-PAAZ СКАНИЯ	2,000	шт	7 110,00	49037P
Амортизатор подвески передний ROSTAR КАМАЗ		шт	7 798,00	180-2915006-70
Амортизатор прицепа ALKO		шт	9 660,00	990560
Амортизаторм подвески STELLOX SAF		шт	6 374,00	87-05074-SX
Антикоррозийная смазка 110мл		шт	216,00	
Антикоррозийная смазка 200 мл		шт	345,00	
Антикоррозийная смазка 277мл		шт	380,00	
Антикоррозийная смазка 450мл		шт	420,00	
Антикоррозийная смазка 500 мл		шт	600,00	
Антикоррозийная смазка-спрей		шт	576,00	0510057
Антифриз ROLF G12	42,000	шт	251,00	
Антифриз Аляска -40 красный 10л		шт	999,00	
Антифриз Аляска -40 красный 1л		шт	137,00	
Антифриз Аляска -40 красный 5л		шт	554,00	
Антифриз для пневмотормозов Carville Racing		шт	80,00	W0521002
Антифриз зеленый 10 л		шт	1 550,00	
Антифриз контрол -42 5л		шт	730,00	
Антифриз контрол G12 -42 10л		шт	1 450,00	
Антифриз контрол G12 -42 1л		шт	147,00	
Антифриз пневмотормозов		шт	81,00	T13629001
Антифриз пневмотормозов Astrohim	5,000	шт	81,00	AC900
Антифриз пневмотормозов ERRY		шт	80,00	
Аргонная сварка ремонт корпуса центрифуги		шт		
Аргонная сварка ремонт трещеточной ручки бокового тента		шт		
Аргонная сварка: изготовление расширительного бочка радиатора охлаждения		шт	1 500,00	
Аргонная сварка: изготовление расширительной банки основного радиатора		шт		
Аргонная сварка: ремонт интеркуллера		шт		
Аргонная сварка: ремонт левого топливного бака		шт	1 500,00	
Аргонная сварка: ремонт основного охлаждающего радиатора,изготовление верхней банки		шт		
Аргонная сварка: ремонт основного радиатора охлаждения		шт	1 500,00	
Аргонная сварка: ремонт переходной плиты		шт		
Аргонная сварка: ремонт правого топливного бака		шт	1 500,00	
Аргонная сварка: ремонт радиатора+ремонт сот 		шт		
Аргонная сварка: ремонт топливного бака		шт	1 500,00	
Аргонная сварка: ремонт трубки змеевика компрессора 		шт	1 500,00	
Аргонная сварка: ремонта радиатора (3шт)		шт		
Аргонная сварка:изготовление банки основного радиатора		шт		
Аргонная сварка:ремонт блока АПС		шт		
Аргонная сварка:ремонт основного радиатора охлаждения: изготовление расширительных банок(2шт) промыв		шт		
Аргонная сварка:ремонт радиатора		шт		
Аргонная сварка:ремонт топливного бака укрепление перегородки		шт		
Аргонно-сварочные работы: ремонт касеты запасного колеса п/п		ч		
Аргонно-сварочные работы: ремонт крышки КПП первичного валла		шт		
Аргонно-сварочные работы: ремонт топливного бака		ч		
Бак топливный SAMPA		шт	2 304,00	09333201
Бак топливный автономного отопителя 20л		шт	2 400,00	
Бак уровня жидкости ГУРа		шт	27 000,00	С918
Блок дозирующий BOSCH МАН 		шт	16 350,00	1465ZS0096
Блок массы		шт		
Блок подшипник SAF S&K	1,000	шт	14 664,00	SK-2850010-01
Блок подшипник ГАЗЕЛЬ НЕХСТ		шт	3 250,00	
Блок подшипник СКАНИЯ		шт	24 780,00	
БЛОК РЕЗИСТОР ОТОПИТЕЛЯ QUATTRO FRENI 		шт	1 605,00	QF10Q00030
Блок-подшипник SAMPA СКАНИЯ 		шт	18 332,00	040.282
Блок-подшипник sampa СКАНИЯ		шт	21 150,00	040.729
Боковой габаритный фонарь 	14,000	шт	625,00	
Боковой габаритный фонарь СКАНИЯ		шт	1 420,00	
Болт + гайка М22		шт	730,00	
Болт амортизатора L-PE	10,000	шт	445,00	070.483-00A
Болт амортизатора STELLOX ШМИТЦ		шт	504,00	84-43979-SX
Болт амортизатора в комлекте с гайкой SAF	4,000	шт	1 600,00	16192_SEM
Болт амортизатора М20Х1,5		шт	473,00	063.121-00A
Болт амортизатора М20х1,5х150		шт	817,00	063.122-00A
Болт амортизатора М20х130х2,5		шт	435,00	R24512
Болт амортизатора М20х2,5		шт	722,00	07045500A
Болт амортизатора нижний 		шт	420,00	
Болт амортизатора ШМИТЦ		шт	270,00	
Болт гайка М6 70 мм		шт	25,00	
Болт гайка шайба комплект		шт	240,00	
Болт карданного вала SAMPA 	2,000	шт	213,00	044.145
Болт карданный с гайкой М14		шт	196,00	
Болт колесный + гайка		шт	890,00	
Болт колесный HEAVY DUTY СКАНИЯ		шт	748,00	309220
Болт колесный HEAVY DUTY СКАНИЯ ПЕРЕД 		шт	725,00	309223
Болт колесный MASUMA КАМАЗ		шт	680,00	85-18543-SX
Болт колесный SAF		шт	554,00	06713000A
Болт колесный SAMPA СКАНИЯ	10,000	шт	683,00	043.260
Болт колесный SAMPA СКАНИЯ ПЕРЕД		шт	683,00	043.258
Болт колесный STELLOX SAF 		шт	497,00	85-18478-SX
Болт колесный STELLOX СКАНИЯ ПЕРЕД		шт	503,00	85-18536-SX
Болт колесный М22		шт	576,00	200070
Болт колесный СКАНИЯ	5,000	шт	835,00	309207
Болт крепления тормозного диска СКАНИЯ	20,000	шт	598,00	55325
Болт М10		шт	75,00	
Болт М10х1,25 		шт	90,00	
Болт М10х120		шт	56,00	
Болт М10х30	20,000	шт	35,00	
Болт М10х40		шт	70,00	
Болт М10х50	32,000	шт	28,00	
Болт М10х60	11,000	шт	90,00	
Болт М10х80		шт	65,00	
Болт М10х90 	4,000	шт	135,00	
Болт М12*90		шт	170,00	
Болт М12х30	14,000	шт	45,00	
Болт М12х50 + гравер + гайка		шт	110,00	
Болт М12х50мм		шт	56,00	
Болт М12х60	1,000	шт	60,00	
Болт М12х65		шт	71,00	
Болт М12х70		шт	112,00	
Болт М12х80	1,000	шт	120,00	
Болт М14		шт	80,00	
Болт м14х115 		шт	205,00	
Болт м14х145		шт	238,00	
Болт М14х240мм + гайка самозатягивающаяся		шт	1 120,00	
Болт М14х50	9,000	шт	138,00	
Болт М14х70	10,000	шт	120,00	
Болт М16		шт	148,00	
Болт М16х100	8,000	шт	150,00	
Болт М16х122х1,5	4,000	шт	256,00	100081
Болт М18х55х1,5 	3,000	шт	415,00	16156
Болт М20х100	5,000	шт	435,00	
Болт М20х120х2,5		шт	510,00	R24511
Болт М20х125х1,5		шт	824,00	16239
Болт М20х150х2,5	1,000	шт	525,00	E9400038
Болт М22		шт	802,00	
Болт М22*18 +гайка М22		шт	650,00	
Болт М22х1,5х100		шт	594,00	
Болт М24х150		шт	752,00	E9400055
Болт М24х166х40 SAMPA		шт	1 799,00	101157
Болт М24х180х3 SAF		шт	1 218,00	E9400226
Болт М30х210 салейнблока		шт	2 523,00	729438
Болт М6х25		шт	22,00	
Болт М6х30	14,000	шт	60,00	
Болт М6х45	19,000	шт	25,00	
Болт М8 		шт	32,00	
Болт М8х100	24,000	шт	45,00	
Болт м8х20	10,000	шт	25,00	
Болт М8х30		шт	22,00	
Болт М8х40	10,000	шт	30,00	
Болт М8х45		шт	21,00	
Болт М8х50	48,000	шт	40,00	
Болт М8х60 мебельный	33,000	шт	21,00	
Болт рессоры М24 СКАНИЯ		шт	1 963,00	
Болт рессоры М30х210		шт	1 305,00	04302700A
Болт с гайкой М12х170		шт	250,00	
Болт салейнблока М30х265		шт	2 623,00	8443942SX
Болт салейнблока полурессоры М24		шт	799,00	Е9400227
Болт секретный М12 1,25		шт	950,00	
Болт секретный М12х1,5 		шт	1 203,00	
Болт секретный М14*1,5*28мм 		шт	970,00	374110Х2
Болт секретный М14х1,5	3,000	шт	890,00	
Болт стабилизатора	2,000	шт	1 260,00	
Болт стабилизатора М22		шт	1 053,00	
Болт ступицы	2,000	шт	130,00	16153
Болт торсиона SAMPA		шт	995,00	102709
Болт турбины СКАНИЯ	4,000	шт	540,00	048.042
Болт установочный M18x1,5x55		шт	356,00	102.578
Болт фланцевый М10х1,5		шт	485,00	048042
Болт+ гайка седельного устройства 		шт	288,00	
Болт+ гайка+шайба(2)  М12		шт	185,00	
Болт+гайка  М8		шт	50,00	
Болт+гайка +шайба М12*60		шт	412,00	
Болт+гайка ДЗУ		шт	890,00	
Болт+гайка м12 комплект		шт	200,00	
Болт+гайка М14		шт	200,00	
Болт+гайка М22 		шт	720,00	
Болт+гайка М8*100		шт	65,00	
Болт+гайка+шайба М10 комплект		шт	80,00	
Болт+гайка+шайба М14		шт	215,00	
Болт+гайка+шайба М16		шт	215,00	
Болт+гайка+шайба М18		шт	245,00	
Болт+гайка+шайба М8		шт	75,00	
Болт+гайка+шайба М8 комплект 		шт	55,00	
Болт+гайка+шайба+грайвер  М18	2,000	шт	350,00	
Болт+гайка+шайба+грайвер М10х150мм		шт	296,00	
Болт+грайвер+гайка М12х120		шт	240,00	
Бочок омывателя	1,000	шт	560,00	
БПВ Г/Н ВР4562 16		шт		
Брызговик задний	1,000	шт	525,00	
Брызговик на п/п		шт	580,00	
Быстросъем мет.6		шт	146,00	
Быстросъем метал.		шт	165,00	
Быстросъем метал. 10	8,000	шт	240,00	
Быстросъем метал. 12		шт	270,00	
Быстросъем метал. 14		шт	325,00	
Быстросъем метал. 8		шт	175,00	
Быстросъем пласт М5	4,000	шт	95,00	
Быстросъем пласт. 10		шт	120,00	
Быстросъем пласт. 14		шт	160,00	
Быстросъем пласт. 6		шт	85,00	
Быстросъем пласт. 6		шт	95,00	
Быстросъем пласт.14	12,000	шт	215,00	
Быстросъем пласт.4	5,000	шт	95,00	
Быстросъем пласти. 8		шт	115,00	
Быстросъем пластиковый 14		шт	165,00	
Быстросъем пластиковый М12	1,000	шт	130,00	БАК90012
Быстросъем Т8хТ8 пласт		шт	120,00	БАК90008
Быстросъем тройник пластиковый М8		шт	165,00	
Быстросъем тройник пластиковый М8		шт	135,00	
Быстросъем тройник пластиковый Ф6		шт	95,00	
Быстрый старт 450 мл		шт	450,00	
Быстрый старт KERRY 335 мл		шт	675,00	
Быстрый старт KERRY 520мл	9,000	шт	715,00	KR-996
Быстрый старт STARTING FLUID 450мл		шт	540,00	
Вентилятор охлаждения с муфтой		шт	58 240,00	
Верхний набор прокладок ГБЦ СКАНИЯ 		шт	15 740,00	03-38305-01
Винт М12х1,5х28 тормозного диска		шт	109,00	4531149-086
Вкладыши шатунные KOLBENSCHMIDT Scania (комплект)		шт	14 635,00	77971600
Вкладыши шатунные KS		шт	14 306,00	77898600
Включатель стеклоподъемника 7 контактов		шт	420,00	
Влагомаслянный отделитель (осушитель) EBS		шт	3 565,00	EBS2232F
Воздухораспределитель с клапаном 		шт	18 800,00	650212
Воздушная перекидка		шт	3 187,00	
Воздушная перекидка (желт) ProVia		шт	3 684,00	
Воздушная перекидка (желт) SORL		шт	2 797,00	5410-5009052
Воздушная перекидка STELLOX		шт	3 187,00	85-14025-SX
Воздушный фильтр ЧЕНЛОНГ	2,000	шт	8 814,00	KU-94048
Восстановление блока АПС		шт		
Восстановление блока ЕБС		шт	1 500,00	
Восстановление воздушных трубок 		шт		
Восстановление заднего бампера 		шт	1 500,00	
Восстановление корпуса воздушного фильтра 		ч	1 500,00	
Восстановление корпусов воздуха забора 		ч	1 500,00	
Восстановление кранштейнов глушителя		ч	1 500,00	
Восстановление кранштейнов передних амортизаторов		ч	1 500,00	
Восстановление крепления подножек 		шт	1 500,00	
Восстановление оси: 2-я ось справа на п/п		шт	1 500,00	
Восстановление откидной части капота и установка		шт		
Восстановление переднего усилителя бампера 		шт	1 500,00	
Восстановление передних крыльев		ч	1 500,00	
Восстановление резьбы турбины		шт		
Восстановление топливной магистрали автономного отопителя		ч		
Восстановление топливопровода автономного отопителя		шт	1 500,00	
Восстановление трубки обратки 		шт	1 500,00	
Восстановление трубки охлаждения ГБЦ		шт		
Восстановление электропроводки АБС на п/п		шт	1 500,00	
Восстановление электропроводки блока управления 		шт	1 500,00	
Восстановление электропроводки боковых габаритных огней термофургона		шт		
Восстановление электропроводки вискомуфты		ч	1 500,00	
Восстановление электропроводки датчиков АБС		шт		
Восстановление электропроводки заднего левого фонаря п/п		шт		
Восстановление электропроводки заднего освещения на п/п		шт	1 500,00	
Восстановление электропроводки заднего правого фонаря		шт		
Восстановление электропроводки заднего фонаря справа на п/п		шт	1 500,00	
Восстановление электропроводки задних фонарей		шт		
Восстановление электропроводки задних фонарей П/П		шт		
Восстановление электропроводки КПП		шт		
Восстановление электропроводки освещения п/п 		шт	1 500,00	
Восстановление электропроводки приборной панели 		шт	1 500,00	
Восстановление электропроводки прицепа		шт		
Востановление блока предохранителей		ч		
Востановление воздушной магистрали		ч		
Востановление заднего правого фонаря п/п		ч		
Востановление корпуса воздушного фильтра		шт	1 500,00	
Востановление панели задних фонарей п/п		шт		
Востановление разъема заднего левого фонаря		шт		
Востановление разъемов блока АПС		шт		
Востановление разъемов датчиков АБС		шт		
Востановление разъемов задних перекидок		шт		
Востановление резьбовых соединений тормозной скобы		шт	1 500,00	
Востановление топливопровода		шт		
Востановление трубки щупа		шт		
Востановление чулка заднего моста		шт		
Востановление чулка на п/п		шт	1 500,00	
Востановление электропроводки 		шт		
Востановление электропроводки АБС П/П		шт	1 500,00	
востановление электропроводки ближнего света		ч		
Востановление электропроводки блока реле		шт		
Востановление электропроводки блока управления ДВС		шт		
Востановление электропроводки боковых габаритных огней		ч		
Востановление электропроводки боковых габаритных фонарей на п/п		шт	1 500,00	
Востановление электропроводки боковых и задних фонарей п/п		ч		
Востановление электропроводки датчика АБС		шт		
Востановление электропроводки датчика блокировки		шт		
Востановление электропроводки датчика уровня пола		шт		
Востановление электропроводки заднего левого фонаря		шт		
Востановление электропроводки заднего левого фонаря на п/п		шт		
Востановление электропроводки заднего освещения на п/п		шт		
Востановление электропроводки заднего правого фонаря		шт		
Востановление электропроводки заднего правого фонаря на п/п		шт	1 500,00	
Востановление электропроводки задних датчиков АБС		шт		
Востановление электропроводки задних фонарей 		шт	1 500,00	
Востановление электропроводки задних фонарей на п/п		шт	1 500,00	
Востановление электропроводки КПП		ч		
Востановление электропроводки левой фары		ч		
Востановление электропроводки П/П		шт		
Востановление электропроводки передней правой фары		шт		
Востановление электропроводки ретарды		шт		
Втулка SAMPA		шт	297,00	110171
Втулка амортизатора	10,000	шт	200,00	
Втулка амортизатора МАЗ		шт	230,00	
Втулка датчика ABS KNORR		шт	934,00	II16774
Втулка кабины S-EM LASTIK СКАНИЯ	4,000	шт	5 453,00	15051
Втулка КПП 6-ой передачи 		шт	6 307,00	8-97253121-01
Втулка кронштейна крыла		шт	1 795,00	
Втулка на переднюю тягу стабилизатора FAW	2,000	шт	3 240,00	2906335-2000/C 
Втулка пальца передней рессоры FAW		шт	1 120,00	199000520078
Втулка пальца передней рессоры FAW		шт	1 080,00	3501396-7e
Втулка пальца передней рессоры FAW		шт	1 458,00	2912121-03
Втулка передней ресоры ROSTAR 		шт	2 610,00	P65115-2902478
Втулка передней рессоры 		шт	1 728,00	2902121-896/B
Втулка подъема ленивого моста		шт	1 500,00	
Втулка рессоры (салейнблок) HEAVY DUTY		шт	3 915,00	312400
Втулка рессоры 20х40х40 ИСУДЗУ		шт	280,00	8970815310
Втулка рессоры ХИНА 300		шт	250,00	
Втулка рычага стабилизатора МАЗ		шт	230,00	
Втулка серьги рессоры МАЗ		шт	805,00	
Втулка стабилизатора 	4,000	шт	810,00	
Втулка стабилизатора Rostar		шт	489,00	65115-2906079
Втулка стабилизатора подвески КАМАЗ		шт	660,00	
Втулка стабилизатора резиновая SAMPA		шт	4 788,00	044154
Втулка стабилизатора ХИНА 300		шт	240,00	
Втулка ушка передней рессоры МАЗ		шт	1 200,00	
Втулка ушка рессоры передней КАМАЗ		шт	600,00	
Втулки стабилизатора МАЗ		шт	1 050,00	
Выезд (200 км)		шт		
Выезд слесаря (47 км)		шт	1 500,00	
Выжимной подшипник HINO 300		шт	14 877,00	31230-37050
Выжимной подшипник МАН		шт	11 245,00	
Выжимной подшипник СКАНИЯ		шт	12 973,00	
Выравнивание верхней площадки п/п		шт		
Выравнивание моста:востановление соосности 		шт		
Высверливание болтов		шт		
Высверливание заломов бачка гура		шт		
Габаритный указатель 		шт	1 530,00	
Газ 		шт	250,00	
Гайка амортизатора М16	15,000	шт	165,00	
Гайка амортизатора М20х2,5	2,000	шт	298,00	104145
Гайка амортизатора ШМИТЦ		шт	280,00	
Гайка грайверная М8		шт	25,00	
Гайка для ДЗУ		шт	65,00	
Гайка колеса КАМАЗ	5,000	шт	350,00	00356-7174800-009
Гайка колесная		шт	336,00	
Гайка колесная MANSONS  SAF 		шт	360,00	WN308
Гайка колесная MANSONS СКАНИЯ	9,000	шт	296,00	100084
Гайка колесная SAF		шт	360,00	
Гайка колесная SAMPA СКАНИЯ ПЕРЕД		шт	299,00	020.451
Гайка колесная STELLOX КАМАЗ/SAF		шт	357,00	89-02011-SX
Гайка колесная евро		шт	320,00	
Гайка колесная КАМАЗ		шт	360,00	
Гайка колесная М14		шт	145,00	
Гайка колесная М22х1,5 SAF		шт	645,00	8902009SX
Гайка колесная с юбкой		шт	290,00	100.545
Гайка колесная с юбкой STELLOX СКАНИЯ 		шт	345,00	89-02079-SX
Гайка колесная с юбкой СКАНИЯ 	19,000	шт	315,00	127.028-00A
Гайка колесная СКАНИЯ 		шт	245,00	
Гайка колесная СКАНИЯ 		шт	410,00	041.006
Гайка М10	66,000	шт	35,00	
Гайка М10 самозатягивающаяся	77,000	шт	30,00	
Гайка М10 стопорная 	46,000	шт	25,00	
Гайка М10х1,5		шт	100,00	07577
Гайка М12	37,000	шт	40,00	
Гайка М12 переходящая	2,000	шт	110,00	
Гайка М12 самозатягивающаяся		шт	34,00	
Гайка М14 	14,000	шт	70,00	
